# {'li': 1, 'lf': 1, 'xc': -2e-08, 'yc': -2e-08}
# omega	gamma
3.000000000000000000e+15 2.781694314272496055e-02
3.016666666666666500e+15 2.853316586178300529e-02
3.033333333333333500e+15 2.927797646764914580e-02
3.050000000000000000e+15 3.005296329739046493e-02
3.066666666666666500e+15 3.085982680698682451e-02
3.083333333333333500e+15 3.170038921790885311e-02
3.100000000000000000e+15 3.257660514519220007e-02
3.116666666666666500e+15 3.349057332258681408e-02
3.133333333333333500e+15 3.444454955585615069e-02
3.150000000000000000e+15 3.544096105313584294e-02
3.166666666666666500e+15 3.648242230181615586e-02
3.183333333333333000e+15 3.757175268516254468e-02
3.200000000000000000e+15 3.871199605938052679e-02
3.216666666666666500e+15 3.990644254371270017e-02
3.233333333333333000e+15 4.115865281322531044e-02
3.250000000000000000e+15 4.247248522711796065e-02
3.266666666666666500e+15 4.385212617580511868e-02
3.283333333333333000e+15 4.530212408901770904e-02
3.300000000000000000e+15 4.682742761638156864e-02
3.316666666666666500e+15 4.843342857331305734e-02
3.333333333333333000e+15 5.012601034101318159e-02
3.349999999999999500e+15 5.191160252273245568e-02
3.366666666666666500e+15 5.379724279284768540e-02
3.383333333333333000e+15 5.579064703496427330e-02
3.399999999999999500e+15 5.790028905550029248e-02
3.416666666666666500e+15 6.013549138657133669e-02
3.433333333333333000e+15 6.250652896446641515e-02
3.449999999999999500e+15 6.502474779757685952e-02
3.466666666666667000e+15 6.770270113264240108e-02
3.483333333333333500e+15 7.055430610603902197e-02
3.500000000000000000e+15 7.359502444680746103e-02
3.516666666666667000e+15 7.684207150441840772e-02
3.533333333333333500e+15 8.031465873734182359e-02
3.550000000000000000e+15 8.403427585686068513e-02
3.566666666666667000e+15 8.802502012313015434e-02
3.583333333333333500e+15 9.231398189936997067e-02
3.600000000000000000e+15 9.693169756488714817e-02
3.616666666666667000e+15 1.019126833701299861e-01
3.633333333333333500e+15 1.072960669183292276e-01
3.650000000000000000e+15 1.131263368475949188e-01
3.666666666666667000e+15 1.194542361834593364e-01
3.683333333333333500e+15 1.263378310187744935e-01
3.700000000000000000e+15 1.338437940247607927e-01
3.716666666666667000e+15 1.420489522843420283e-01
3.733333333333333500e+15 1.510421616923830757e-01
3.750000000000000000e+15 1.609265865007421525e-01
3.766666666666667000e+15 1.718224835538648687e-01
3.783333333333333500e+15 1.838706177216626048e-01
3.800000000000000000e+15 1.972364697215267249e-01
3.816666666666666500e+15 2.121154420953740571e-01
3.833333333333333000e+15 2.287393261941018385e-01
3.850000000000000000e+15 2.473843656256159429e-01
3.866666666666666500e+15 2.683813428139048551e-01
3.883333333333333000e+15 2.921282273985916222e-01
3.900000000000000000e+15 3.191060578119817026e-01
3.916666666666666500e+15 3.498988734080957230e-01
3.933333333333333000e+15 3.852186518090777168e-01
3.950000000000000000e+15 4.259362806691252556e-01
3.966666666666666500e+15 4.731194860198658092e-01
3.983333333333333000e+15 5.280781034109042205e-01
4.000000000000000000e+15 5.924156169832487384e-01
4.016666666666666500e+15 6.680825409226527345e-01
4.033333333333333000e+15 7.574201685045983679e-01
4.050000000000000500e+15 8.631692432378494928e-01
4.066666666666667000e+15 9.883919611080077550e-01
4.083333333333333500e+15 1.136210309598419732e+00
4.100000000000000500e+15 1.309194198316508517e+00
4.116666666666667000e+15 1.508152218117829957e+00
4.133333333333333500e+15 1.730059233158905085e+00
4.150000000000000500e+15 1.965104155665951868e+00
4.166666666666667000e+15 2.193711973277547411e+00
4.183333333333333500e+15 2.386006980600785532e+00
4.200000000000000500e+15 2.507288309481114918e+00
4.216666666666667000e+15 2.530518959362821452e+00
4.233333333333333500e+15 2.449609431316924102e+00
4.250000000000000500e+15 2.282969860209059121e+00
4.266666666666667000e+15 2.064030016771647436e+00
4.283333333333333500e+15 1.826918659355928343e+00
4.300000000000000500e+15 1.597012672845691261e+00
4.316666666666666500e+15 1.388842719772899859e+00
4.333333333333333500e+15 1.208375006431806176e+00
4.350000000000000500e+15 1.056298133014663021e+00
4.366666666666666500e+15 9.306453049711578274e-01
4.383333333333333500e+15 8.284144769028065625e-01
4.400000000000000000e+15 7.463794497769633551e-01
4.416666666666666500e+15 6.813605889757581302e-01
4.433333333333333500e+15 6.301651163732225891e-01
4.450000000000000000e+15 5.893756555814966269e-01
4.466666666666666500e+15 5.552149384462136128e-01
4.483333333333333500e+15 5.237768368345846470e-01
4.500000000000000000e+15 4.917685440783966522e-01
4.516666666666667000e+15 4.574234707940691980e-01
4.533333333333334000e+15 4.208578200034655548e-01
4.550000000000000000e+15 3.835221335886066507e-01
4.566666666666667000e+15 3.472110281282676514e-01
4.583333333333334000e+15 3.133226404858423519e-01
4.600000000000000000e+15 2.826171085094520419e-01
4.616666666666667000e+15 2.553114808389701507e-01
4.633333333333334000e+15 2.312783820533785284e-01
4.650000000000000000e+15 2.102189205213066403e-01
4.666666666666667000e+15 1.917756384886596943e-01
4.683333333333334000e+15 1.755942191838863742e-01
4.700000000000000000e+15 1.613518526691363475e-01
4.716666666666667000e+15 1.487668998413518850e-01
4.733333333333334000e+15 1.375992136480801986e-01
4.750000000000000000e+15 1.276463937603360965e-01
4.766666666666667000e+15 1.187386998256077658e-01
4.783333333333334000e+15 1.107339152708309987e-01
4.800000000000000000e+15 1.035127024831252740e-01
4.816666666666667000e+15 9.697461949075922294e-02
4.833333333333334000e+15 9.103479819253644523e-02
4.850000000000000000e+15 8.562121527452007386e-02
4.866666666666667000e+15 8.067246665140367923e-02
4.883333333333334000e+15 7.613595774791850901e-02
4.900000000000000000e+15 7.196643195716119490e-02
4.916666666666667000e+15 6.812477192923702130e-02
4.933333333333333000e+15 6.457702021119089697e-02
4.950000000000000000e+15 6.129357614015613909e-02
4.966666666666667000e+15 5.824853454264643932e-02
4.983333333333334000e+15 5.541913881267788999e-02
5.000000000000000000e+15 5.278532655233803689e-02
5.016666666666667000e+15 5.032935040630336782e-02
5.033333333333334000e+15 4.803546023345883764e-02
5.050000000000000000e+15 4.588963552769748100e-02
5.066666666666667000e+15 4.387935918442293498e-02
5.083333333333333000e+15 4.199342543571801811e-02
5.100000000000000000e+15 4.022177614519265032e-02
5.116666666666667000e+15 3.855536074109698619e-02
5.133333333333334000e+15 3.698601593396438209e-02
5.150000000000000000e+15 3.550636205999394002e-02
5.166666666666667000e+15 3.410971345017532047e-02
5.183333333333333000e+15 3.279000067633323218e-02
5.200000000000000000e+15 3.154170289100451802e-02
5.216666666666667000e+15 3.035978877578624988e-02
5.233333333333334000e+15 2.923966485609293814e-02
5.250000000000000000e+15 2.817713013989956924e-02
5.266666666666667000e+15 2.716833620247108977e-02
5.283333333333333000e+15 2.620975197503633281e-02
5.300000000000000000e+15 2.529813260816752771e-02
5.316666666666667000e+15 2.443049187458643315e-02
5.333333333333334000e+15 2.360407765462668034e-02
5.350000000000000000e+15 2.281635011341568570e-02
5.366666666666667000e+15 2.206496223422134417e-02
5.383333333333333000e+15 2.134774241914390996e-02
5.400000000000000000e+15 2.066267890789297290e-02
5.416666666666667000e+15 2.000790579897375812e-02
5.433333333333333000e+15 1.938169048620209250e-02
5.450000000000000000e+15 1.878242234787668233e-02
5.466666666666666000e+15 1.820860254683765930e-02
5.483333333333333000e+15 1.765883481757054424e-02
5.500000000000000000e+15 1.713181713194966010e-02
